ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
72,405.34,367.89,270.13,430.74,430.32,310.07,480.88,305.58,675.58,69.09,375.59,369.08,247.91,375.58,345.06,112.75,528.46
73,379.7,342.74,226.83,395.02,376.14,251.55,411.11,275.39,532.38,30.8,325.64,330.64,184.63,292.11,272.24,93.12,457.11
74,413.58,371.52,220.3,407.47,391.1,240.68,413.36,269.27,533.04,23.21,346.97,312.19,141.02,279.05,233.67,73.97,419.71
75,406.92,369.18,229.66,396.51,347.67,218.88,366.64,235.58,437.38,25.31,298.76,281.11,115.01,256.59,199.52,50,346.16
76,408.54,360.83,227.07,396.96,327.69,207.67,352.28,222.5,424.17,27.11,289.6,282.46,124.06,261.72,210.23,41.2,312.59
77,353.41,318.84,204.25,347.51,276.9,198.2,327.56,195.29,411.6,25.69,264.16,268.56,125.68,226.47,197.17,22.62,275.79
78,29.23,76.91,86.35,158.74,97.11,38.97,94.22,82.28,101.6,63.89,82.16,122.07,105.2,120.74,145.37,21.67,73.26
79,25.3,54.8,47.67,103.88,70.21,26.79,59.82,53.49,66.21,42.93,53.59,81.84,70.78,72.28,95.45,20.85,58.15
80,59.58,115.3,95.91,186.06,133.77,63.92,114.72,103.64,120.47,100.35,99.12,152.18,132.15,142.27,182.62,59.61,116.98
81,8.16,25.66,12.01,29.6,23.2,12.11,23.48,12.47,17.57,15.75,17,22.9,27.7,16.42,28.59,10.19,20.43
82,8.55,19.48,9.29,21.18,18.83,10.1,17.45,12.01,14.53,14.63,14.84,15.52,21.29,15.43,21.03,9.49,16.61
83,0.58,3.7,1.29,5.7,3.24,2.37,4.67,1.9,2.81,0.96,4.03,3.48,3.33,2.04,2.61,1.43,2.39
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,21.22,40.93,20.87,60.47,43.01,26.38,43.81,28.26,36.16,31.54,38.94,41.07,52.09,41.05,52.46,23.17,38.81
87,4.77,10.41,6.45,18.58,15.16,7.49,13.66,8.76,15.16,5.69,10.22,15.71,12.64,11.53,14.52,0.54,11.57
88,1.45,4.47,0.88,5.79,4.59,1.12,3.62,1.74,6.81,0,4.12,2.26,5.1,1.27,4.2,0,4.68
89,19.83,25,16.83,36.22,30.52,17.71,30.17,20.82,47.62,7.93,26.7,29.83,24.16,27.21,28.3,1.8,26.93
90,103.64,103.44,66.34,145.97,136.54,80.23,127.44,103.25,216.01,34.34,131.19,127.28,82.89,100.74,104.28,15.88,119.17
91,141.71,135.26,83.76,181.45,166.94,100.46,163.01,124.73,252.7,33.03,156.52,156.35,95.69,118.98,123.87,28.85,174.37
92,157.46,152.66,88.99,178.67,171.76,110.49,174.64,129.72,248.65,14.61,154.82,152.18,79.6,120.85,115.27,36.7,195.77
93,283.92,255.52,114.52,277.17,266.96,158.33,279.01,224.15,332.97,4.19,260.26,217.78,66.58,150.29,146.22,46.87,317.41
94,377.12,348.89,149.82,363.32,343.16,200.73,355.7,285.27,374.52,5.83,351.94,264.12,68.8,194.68,173.34,59.97,394.56
95,362.08,317.3,153.92,347.66,319.51,180.5,320.26,241.36,314.24,6.98,294.38,244.83,67.76,181.54,166.53,45.79,318.31
96,363.52,304.39,181.02,342.6,295.38,176.02,312.37,204.98,330.5,14.96,281.83,240.62,79.61,200.17,166.39,27.76,278.83
97,320.77,275.73,164.23,327.2,270.81,173.35,318.51,190.85,337.71,20.83,260.56,240.65,100.92,191.44,168.42,15.02,248.88
98,16.28,27.59,19.94,41.16,34.65,18.63,24.54,29.52,28.14,22.83,20.18,26.78,27.36,24.7,39.5,12.12,27.4
99,6.6,15.62,16.84,30.62,22.86,7.21,15.93,16.83,20.4,16,18.08,26.3,21.25,20.66,35.14,2.51,12.37
100,21.05,38.3,37.31,62.59,49.06,20.64,35.1,36.66,41.5,42.8,37.06,59.78,55.1,47.27,69.61,20.29,32.45
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
