ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,288.47,278.61,217.64,329.09,317.6,113.31,167.39,199.4,142.51,117.88,129.26,207.29,93.16,152.79,61.5,49.7,176.17,97.11,235.62,152.68,100.3,263.41
54,236.18,232.65,180.72,268.9,253.43,102.03,131.01,157.69,123.5,75.73,114.66,154.24,71.89,118.29,32,22.6,144.65,81.34,175.71,133.65,72.98,221.69
55,322.08,294.32,220.76,365.69,334.15,128.29,182.66,213.58,152.37,110.11,139.28,199.9,101.37,164.41,45.65,28.86,193.43,98.6,232.87,158.73,105.05,269.8
56,304.47,264.5,204.85,326.42,315.44,120.57,156.84,192.3,135.89,87.58,126.15,178.12,85.28,133.14,29.82,15.81,174.82,90.66,197.17,150.8,83.45,242.21
57,285.78,241.75,180.88,300.83,298.62,100.62,129.85,155.01,91.23,63.3,92.74,136.98,71.51,100.37,12.6,4.2,136.51,74.55,171.34,116.34,53.23,179.84
58,232.1,204.89,240.21,269.73,268.41,36.12,143.69,226.67,160.67,67.65,58.22,156.8,63.66,102.89,89.26,14.39,180.05,103.31,213.66,101.12,57.86,231.54
59,130.57,126.17,129.8,164.02,161.95,36.68,95.34,136.71,96.06,51.75,40.27,103.54,43.99,72.49,59.99,15.97,125.46,68.3,136.77,69.87,41.29,145.95
60,147.18,139.82,139.75,199.14,189.17,43.38,101.87,158.7,107.19,57.61,51.48,120.96,57.47,106.47,67.02,22.33,149.89,81.5,172.58,95.99,55.79,188.27
61,149.23,139.96,131.14,194.67,183.88,41.8,103.11,152.14,97.3,56.76,49.28,115.86,52.5,102.1,62.64,16.44,147.61,79.21,164.12,97.27,55.78,178.64
62,110.52,106.38,100.93,147.04,130.97,41.19,79.03,111.95,77.04,49.83,39.87,94.24,36.78,78.59,50.85,21.3,107.36,65.74,130.27,77.94,45.14,127.04
63,149.94,140.33,124.68,184.65,163.34,47.42,97.05,146.89,90.96,59.79,47.4,120.58,46.63,90.39,61.13,15.22,128.3,69.03,145.41,82.96,48.3,154.45
64,86.98,84.33,71.97,107.82,96.5,34.74,57.1,85.08,53.47,34.81,28.21,72.01,27.72,50.45,31.73,7.63,74.1,39.15,78.75,49.79,30.9,92.45
65,21.48,19.51,19.38,23.66,24.37,9.14,17.27,22.57,16.68,8.65,10.32,17,9.63,14.76,9.84,6.44,18.54,12.53,21.17,16.55,10.28,20.7
66,110.91,103.76,90.46,141.05,130.47,33.04,68.47,100.58,49.11,60.19,22.47,111.7,20.14,73.57,36.97,20.54,72.62,63.61,128.03,46.76,30.07,101.08
67,58.32,52.65,45.48,67.13,59.45,22.37,33.66,43.52,29.4,24.69,19.05,49.1,19.59,33.47,19.56,9.37,41.79,28.69,52.41,32.93,18.04,49.23
68,30.57,33.16,28.16,36.25,32.25,15.21,22.21,26.9,20.65,16.16,18.67,24.16,13.96,22.1,14.65,10.38,23.77,19.01,32.17,21.68,14.92,30.41
69,3.74,6.61,2.81,3.22,3.93,2,1.04,4.3,3.86,0.59,4.53,4.08,4.48,0.92,0.16,0,5.71,0.42,3.26,2.95,0.43,5.11
70,75.78,78.04,64.67,91.27,84.18,37.02,48.02,61.6,47.38,38.5,43.53,59.47,28.89,49.67,30.09,19.38,55.3,40.32,72.73,54.35,35.61,73.04
71,236.3,243.35,200.64,294.95,261.12,104.98,154.55,188,144.07,110.52,133.71,185.16,90.96,138.54,77.94,58.34,152.6,113.59,217.23,144.72,94.37,222.79
72,307.59,328.65,266.26,382.08,353.67,143.23,197.15,234.04,171.09,147.77,162.66,243.58,116.2,188.42,99.89,78,193.92,155.69,288.05,184.08,129.85,289.26
73,268.82,266.41,212.97,305.79,283.62,108.79,141.51,181.06,132.84,103.24,135.6,177.98,89.11,145.75,58.76,34.38,159.26,104.44,194.11,151.77,90.59,238.14
74,335.8,328.53,252.64,376.29,358.67,139.03,190.24,227.08,156.3,132.66,160.8,204.22,103.85,175.32,74.5,42.67,201.32,124.22,232.53,179.86,107.05,264.26
75,313.18,283.7,227.24,329.84,322.68,122.99,155.73,185.07,140.26,106.08,131.93,178.42,88.97,149.13,48.63,22.18,161.34,98.79,201.82,152.23,84.38,224.2
76,297.43,269.56,199.12,322.29,317.22,119.23,135.86,171.34,112.48,100.48,120.86,159.5,78.62,123.43,33.3,11.41,149.91,83.82,181.75,127.84,65.55,201.1
77,324.71,305.02,219.07,345.1,360.37,121.34,163.28,169.1,127.15,97.61,124.09,153.58,79.43,123.03,28.19,12.48,145.74,80.2,203.99,133.61,50.35,187.96
78,148.79,128.12,143.6,158.08,167.18,21.79,87.03,154.06,108.92,43.1,45.31,93.18,61.28,81.15,57.03,28.02,132.72,74.36,152.56,77.25,45.56,161.73
79,68.44,67.97,67.24,72.52,75.05,11.31,38.57,68.59,50.33,21.78,23.43,47.55,24.47,29.12,25.15,4.58,61.81,28.8,60.36,37.54,22.35,75.25
80,113.4,107.09,111.4,139.48,134.97,30.28,82.87,123.94,92.21,52.25,48.48,94.53,53.84,88.52,64.7,32.15,119.07,65.67,120.46,83.37,52.25,148.1
81,22.19,16.35,15.23,19.23,23.86,4.49,10.91,17.59,12.45,5.25,5.49,12.45,8.62,12.91,7.74,4.54,19.41,8.6,17.38,10.11,7.72,20.28
82,15.71,12.44,13.52,15.61,17.02,7,10.09,14.73,12.85,6.83,7.55,11.91,8.82,12.05,8.12,6.79,14.77,9.33,17.58,11.33,7.83,15.98
83,2.5,2.11,2.23,0.87,2.66,1.92,0.87,0.85,0.71,0.52,0.99,1.19,1.96,1.13,0,0,2.32,0,0.55,0.66,1.2,1.38
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,42.02,40.44,33.3,42.44,41.08,17.12,25.96,36.42,27.52,17.81,20.98,29.84,17.52,22.38,15.93,10.36,28.21,20.84,35.97,20.69,14.53,37.74
87,13.55,10.61,8.35,15.29,10.86,4.76,6.79,7.95,4.53,4.46,3.39,11.53,2.61,7.23,3.37,0,10.52,7.14,11.76,6.68,3.43,13.31
88,0.79,0.75,0.28,1.18,0.67,0.56,0,0.26,0,0,0,0.28,0.63,0,0,0,0.57,0,0,0,0,0.1
89,37.57,37.44,26.03,43.01,35.95,15.02,20.07,27.16,19.75,20.33,18.15,30.64,13.77,21.28,12.55,8.89,25.69,15.98,35.42,19.31,13.89,33.49
90,82.72,96.27,79.99,117.44,102.3,31.26,58.37,73.33,47.9,39.09,40.07,77.94,35.36,52.85,28.33,20.8,57.18,48.2,94.08,50.54,30.11,82.06
91,144.42,154.39,135.88,178.77,161.94,71.44,104.72,126.14,92.53,74.26,90.68,116.95,61.86,94.98,58.56,46.72,99.48,77.93,142.32,100.29,70.97,136.86
92,162.6,171.97,145.89,199.68,180.49,78.79,112.55,133.21,101.12,89.34,103.55,127.54,81.92,106.8,68.44,55.11,107.33,84.27,150.67,104.21,80.85,152.27
93,230.98,230.95,184.5,260.08,251.27,95,124.85,155.55,107,91.02,122.81,147.66,73.03,125.2,50.18,34.63,139.13,97.69,168.85,132.02,83.32,201.66
94,403.12,404.4,315.99,431.38,419.33,173.98,235.23,272.09,188.79,173.02,196.01,242.12,130.82,215.58,112.34,74.58,240.31,149.51,275.42,232.57,127.21,297.96
95,318.1,313.9,240.53,345,335.58,130.38,175.7,204.47,145.34,115.85,154.98,185.11,89.86,162.88,67.74,36.79,181.49,113.69,206.17,173.27,90.28,229.85
96,290.85,274.84,208.64,315.85,321.31,114.24,136.48,162.69,116.99,86.29,124.8,152.89,77.03,124.36,24.34,12.01,139.88,87.46,179.71,132.37,57.3,188.27
97,369.24,370.1,275.72,384.14,406.27,140.81,187.99,202.3,142.9,109.66,146.81,174.82,104.88,155.73,29.43,22.12,166.05,89.61,219.53,156.69,61.74,205.28
98,31.14,26.22,26.88,31.86,35.51,9.39,19.51,30.72,26.18,12.51,11.43,20.22,19.17,24.89,18.37,13.54,34.42,20.16,32.05,23.48,13.05,39.83
99,14.7,13.33,13.36,17.37,15.35,0.8,7.86,15.01,6.74,6.23,2.86,13.24,3.49,7.14,4.65,0.29,16.77,6.85,14.66,7.9,4.78,17.98
100,35.91,31.04,33.26,44.45,42.16,9.93,24.39,36.8,24.33,22.06,10.2,35.41,11.95,31.85,21.36,13.76,40.41,27.03,50.04,27.8,14.98,44.44
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1.08,3.16,1.23,1.62,4.17,2.67,0.3,1.41,0,0.17,1.46,1.59,2.93,0,0,0,2.94,0,0.59,1.28,0.07,3.14
106,0.39,1.98,1.19,0.32,1.96,1.98,0.42,0.88,0.08,0.34,1.36,0.94,1.36,1.16,0,0.31,1.21,0,0.19,1.08,0,2.17
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,18.78,17.69,9.95,22.68,18.06,4.55,9.42,12.1,7.06,7.94,7.11,14.38,4.92,11.95,7.97,2.62,13.9,9.63,16.38,10.54,7.24,16.96
109,13.65,23.14,16.21,27.87,26.07,4.2,10.28,10.42,8.63,10.55,3.69,27.1,8.19,13.3,3.65,3.01,8.39,11.16,23.65,9.01,1.55,21.09
110,143.02,146.59,118.62,178.44,158.71,66.04,81.8,112.1,86.39,64.11,78.28,110.74,59.52,98.65,59.75,33.51,109.11,82.77,139.39,107.09,63.51,150.11
111,1.07,2.39,0.68,2.47,3.44,0,0,0,0.34,0,1.16,1.32,0.67,0,0,0,1.81,0,0,0,0,1.3
112,18.58,19.39,16.86,23.42,22.95,9.72,10.94,12.9,10.47,8.71,12.73,13.31,8.59,11.13,7.05,3.84,13.35,9.38,18.2,12.7,9.09,18.3
113,113.62,118.11,91.95,137.95,130.75,44.54,67.57,80.43,55.4,46.07,54.52,86.85,32.56,70.03,35.03,27.17,70.02,55.26,96.99,66.66,41.08,99.38
114,253.94,254.32,209.25,311.41,291.96,115.64,134.87,161.08,124.51,96.37,129.64,174.57,85.28,145.84,72.65,37.47,149.11,117.95,200.28,158.42,85.01,224.16
115,278.34,260.07,206.46,317.17,303.1,114.54,142.94,163.47,122.84,88.99,140.05,170.98,78.63,149.5,64.56,21.47,153.85,108.32,190.27,173.24,75.04,228.56
116,317.5,293.3,233.53,384,364.34,135.43,169.91,180.36,118.23,91.49,137.04,197.25,72.17,160.85,45.54,10.86,158.23,119.11,248.96,177,69.24,235.33
117,294.35,275.55,210.87,318.47,340.42,108.26,147.85,158.26,116.71,84.3,125.46,156.7,70.22,121.95,51.17,12.53,144.37,95.39,193.87,141.82,48.53,189.44
118,2.06,1.26,0.68,0.88,2.57,0,0.18,0.98,0,0,0,1.41,1.87,0,0.17,0,4.8,0.84,1.33,1.39,0,1.97
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
