ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
115,300.08,322.82,250.08,368.73,324.03,142.39,183.73,279.07,205.73,87.45,202.55,171.99,86.85,121.63,135.98,79.62,217.25,137.6
116,437.84,444.66,373.79,538.17,479.44,217.94,268.69,324.4,235.37,122.49,223.06,231.16,149.04,204.95,157.93,79.75,259.12,186.17
117,390.87,419.32,358.7,484.34,441.21,206.25,261.64,295.85,222.53,119.86,217.86,212.35,148.55,204.16,143.03,93.87,240.44,177.79
118,6.71,6.34,3.33,4.42,7.82,2.13,3.4,5.14,4.1,0.28,4.71,3.65,5.46,3.96,4.19,0.69,10.33,4.37
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,6.99,6.79,5,12.45,9.23,1.07,2.61,5.46,2.64,3.71,2.39,8.41,0.98,3.67,1.95,0.77,5.04,4.8
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,4.65,5.84,4.83,5.96,7.17,2.95,3.55,5.6,4.57,1.07,4.91,2.99,4.56,4.1,3.33,2.34,3.52,1.27
130,57.46,53.11,48.4,69.63,61.68,32.18,37.12,51.47,33.84,27.12,33.42,42.02,27.06,45.04,28.61,20.02,47.33,37.73
131,16.61,15.44,14.05,20.27,17.25,8.9,11.73,12.42,8.87,8,8.69,13.03,4.73,10.08,6.78,4.79,12.65,10.65
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,5.89,4.71,4,6.16,5.86,1.32,3.54,8.27,2.12,2.1,1.75,3.55,0.54,1.52,2.29,1.99,2.25,2.01
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,236.25,252.22,199.62,295.06,248.5,115.12,152.88,209.14,154.09,67.85,160.35,134.29,58.8,112.96,113.69,62.38,169.02,127.44
136,315.47,326.82,285.82,396.36,354.12,154.84,205.54,254.39,178.43,81.11,183.18,186.06,94.97,152.68,115.77,57.32,203.22,150.91
137,348.48,365.98,328.91,436.72,389.15,171.8,230.68,272.11,209.29,103.81,231.13,183.64,123.49,180.83,148.19,57.33,223.39,176.4
138,333.05,352.22,318.47,426.5,369.12,166.68,229.64,248.37,194.33,102.37,208.69,183.23,128.23,186.03,129.19,56.37,209.92,186.63
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,17.62,12.96,17.99,22.24,19.18,4.29,12.44,22.52,15.3,8.83,9.29,15,7.96,11.52,8.86,7,13.65,13.86
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,31.23,27.97,25.94,37.04,32.53,15.93,20.26,23.69,19.1,16.39,19.36,24.49,15.53,25.77,21.52,13.22,26.9,23.42
148,2.08,2.02,0.42,3.35,2.37,0,0.3,0.36,0.4,0,1.25,1.55,1.29,0.29,0.59,0,2.91,0.04
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,70.09,74.65,65.4,87.27,78.19,36.84,55.28,69.79,55.35,28.97,59.03,49.39,36.19,52.99,41.01,28.33,60.69,47.28
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,255.03,280.91,221.27,339.26,274.14,121.03,169.99,229.64,155.94,70.05,180,146.48,66.96,138.6,124.46,50.94,173.64,137.95
157,300.5,328.46,274.51,383.72,323.74,141.48,200.69,243.73,176.94,76.54,189.84,159.87,95.45,157.53,133.69,47.53,183.06,139.88
158,252.85,272.18,232.32,305.77,290.99,118.83,164.73,191.78,149.61,60.5,175.52,131.64,94.72,112.41,102.57,35.92,159.2,111.21
159,257.31,249.27,259.7,323.58,295.43,128.63,195.1,162.8,122.04,101.68,133.88,191.01,65.12,138.36,59.46,25.53,136.45,151
160,302.92,317.46,313.33,383.69,370.68,156.03,241.09,193.62,183.61,117.7,223.48,209.74,109.6,179.91,102.41,40.69,213.79,184.61
161,4.25,3.83,3.82,6.44,5.27,0.38,3.07,4.56,3.2,2.69,2.24,4.22,2.25,4.39,3.86,0.68,4.83,3.89
162,3.86,3.45,3.84,5.12,5.05,1.33,3.13,4.28,2.92,2.15,2.02,3.96,1.79,4.83,3.04,0,4.73,3.69
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1.91,2.34,2.07,2.8,3.96,1.13,1.88,2.9,3.06,0.41,2.67,1.43,0.39,0.16,1.19,2.88,1.78,1.84
167,3.85,5.95,6.19,7.16,4.61,1.38,4.59,7.78,5.07,2.43,3.96,5.65,0.79,0.46,2.64,0.61,4.66,3.5
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,86.31,75.34,70.84,95.35,86.76,41.46,51.16,65.55,49.31,41.74,36.08,61.08,29.36,60.42,52.54,27.81,70.24,58.68
171,3.94,3.85,1.84,3.12,4.16,1.6,0.36,1.31,1.96,0,2.99,2.11,0.92,1.83,1.49,0,3.17,0.79
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2.68,2.27,0.96,4.15,2.96,1.44,1.43,1.11,1.11,0,1.6,1.85,0.53,0,0.17,0,2.66,0
176,113.7,115.21,102.27,136.09,120.85,68.04,85.11,105.49,82.61,53.68,89.33,73.03,61.74,84.47,58.29,33.47,97.17,80.35
177,84.34,85.62,72.39,108.03,90.52,37.83,61.1,64.68,39.76,18.61,42.02,46.51,25.18,42.68,41.86,17.09,55.24,46.29
178,72.58,76.05,62.77,95.72,75.69,37.9,48.52,58.72,37.59,19.37,41.75,43.8,20.15,41.92,36.86,14.2,48.05,41.05
179,252.01,275.04,236.45,341.15,271.24,126.63,186.69,193.3,140.96,75.59,150.96,149.97,77.76,148.57,117.53,41.04,161.62,140.62
180,274.9,298.36,255.88,364.66,298.37,128.22,217.88,203.74,142.13,82.83,160.07,157.96,92.85,168.82,126.63,28.21,166.11,141.28
181,178.08,202.97,187.77,244.81,228.79,99.57,153.43,134.77,97.06,64.69,113.45,143.65,64.4,100.24,53.61,20.2,105.31,96.92
182,236.54,251.67,246.38,320.48,302.4,126.33,204.19,161.9,120.98,95.19,132.19,172.83,75.99,137.96,82.31,23.36,132.63,140.5
183,341.58,376.72,354.62,447.86,429.82,192.86,304.69,238.77,210.13,119.18,223.51,226.94,140.9,198.41,137.32,56.4,223.26,215.16
184,406.16,435.26,412.34,511.02,474.41,219.8,344.57,283.82,252.37,142.5,289.49,249.22,190.91,240.1,181.87,86.22,271.03,254.59
185,391.04,438.02,419.28,516.11,434.08,209.32,324.31,272.15,252.66,132.53,291.08,233.65,185.75,238.21,196.53,100.9,262.98,258.85
186,381.35,462.4,437.72,535.27,430.75,232.62,336.1,287.06,282.15,146.85,326.64,252.11,203.96,281.58,229.86,113.28,304.49,281.25
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,5.82,4.31,0.75,1.83,7.55,1.34,3.5,4.12,3.03,0,2.96,3.95,4.25,3.53,2.64,0.47,7.61,0.95
189,45.54,45.62,46.59,64.6,54.51,6.8,31.75,54.05,26.43,30.61,17.45,46.38,24.5,49.21,41.1,14.87,57.21,46.86
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,18.47,18.93,20.42,25.04,19.76,8.86,15.01,19.61,14.49,13.64,8.79,23.25,8.98,19.18,17.33,11.73,20.88,20.49
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2.66,5.04,4.61,3.39,4.87,0.27,2.2,3.49,2.54,1.61,3.93,3.47,2.87,1.96,1.33,0,4.31,2.73
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
